Competition,Type of race,Sex,HOST NATION,Country,DAY,MONTH,YEAR,TIME,Latitude,Longitude,NOAA Station ID,Station Location,Distance from location (km),Air Temperature (C),Dew Point (C),Wind Speed (m/s),Adjusted wind speed,Relative Humidity (%),Clouds (OKTA),Diff from requested Time (minutes),Time zone,Solar Radiation accounting for clouds (tilt surface)(W/m},Heat Index (National Oceanic and Atmospheric Administration; Last modified 2014) - [°C],Simplified Wet Bulb Globe Temperature (American College of Sports Medicine; 1984) - [°C],Wet Bulb Globe Temperature (outdoor) (Yaglou; 1956) - [°C],World Record,Standing record,Finished time (1st),Finished time (2nd),Finished time (3rd),Finished time (4th),Finished time (5th),Finished time (6th),Finished time (7th),Finished time (8th),Finished time (9th),Finished time (10th),time_avgTop3
Diamond League,3k,Women,OSLO,NORWAY,15,6,2017,20:45:00,59.9133301,10.7389701,1492099999,NO; OSLO BLINDERN,4.3,15.5,13.0,3.0,1.2,85.1,8,15,2,56,15.3,18.6,14.4,00:08:53,00:09:00,00:09:17,00:09:17,00:09:22,00:09:26,00:09:26,00:09:29,00:09:32,00:09:33,00:09:34,00:09:48,00:09:19
Diamond League,3k,Women,PARIS,FRANCE,1,7,2017,21:00:00,48.8566969,2.3514616,7156099999,FR; PARIS MONTSOURIS,4.6,18.4,11.5,2.1,0.9,64.2,4,0,2,199,18,19.7,16.6,00:08:53,00:09:00,00:09:02,00:09:06,00:09:08,00:09:11,00:09:11,00:09:13,00:09:20,00:09:22,00:09:24,00:09:27,00:09:05
Diamond League,3k,Men,RABAT,MOROCCO,16,7,2017,20:20:00,34.022405,-6.834543,60135099999,MO; SALE,8.3,24.0,20.0,1.0,0.4,78.4,7,10,1,0,24.5,26.7,21.7,00:07:54,00:07:54,00:08:05,00:08:11,00:08:12,00:08:16,00:08:17,00:08:19,00:08:22,00:08:24,00:08:28,00:08:32,00:08:09
Diamond League,3k,Women,RABAT,MOROCCO,16,7,2017,19:32:00,34.022405,-6.834543,60135099999,MO; SALE,8.3,26.0,20.0,1.0,0.4,69.6,5,2,1,0,26.5,27.9,22.8,00:08:53,00:09:00,00:09:19,00:09:21,00:09:24,00:09:26,00:09:28,00:09:39,00:09:41,00:09:41,00:10:02,,00:09:21
Diamond League,3k,Men,ROME,ITALY,8,6,2017,20:15:00,41.8933203,12.4829321,16235099999,IT; URBE,6.7,24.0,13.0,1.9,0.8,50.2,1,,2,173,23.8,23.4,20.1,00:07:54,00:07:54,00:08:05,00:08:05,00:08:08,00:08:08,00:08:11,00:08:12,00:08:14,00:08:14,00:08:15,00:08:16,00:08:06
Diamond League,3k,Men,stockholm,SWEDEN,18,6,2017,16:52:00,59.3251172,18.0710935,2484099999,SW; STOCKHOLM OBSERVATORIET,2.8,25.0,12.0,8.6,3.6,44.3,0,8,2,639,24.7,23.6,21.6,00:07:54,00:07:54,00:08:15,00:08:18,00:08:22,00:08:23,00:08:23,00:08:24,00:08:24,00:08:29,00:08:31,00:08:35,00:08:18
Diamond League,3k,Women,ZURICH,switzerland,24,8,2017,20:31:00,47.3744489,8.5410422,6660099999,SZ; ZUERICH FLUNTERN,2.2,16.0,15.2,1.0,0.4,95.0,8,29,2,15,16.1,19.8,15.2,00:08:53,00:09:00,00:08:55,00:09:00,00:09:05,00:09:15,00:09:15,00:09:16,00:09:16,00:09:18,00:09:21,00:09:29,00:09:00
Diamond League,3k,Men,birmingham,UK,18,8,2018,14:33:00,52.4796992,-1.9026911,3534099999,UK; BIRMINGHAM,10.9,22.0,14.0,5.1,2.1,60.5,3,13,1,165,21.8,22.7,19,00:07:54,00:07:54,00:08:14,00:08:15,00:08:16,00:08:17,00:08:17,00:08:23,00:08:24,00:08:30,00:08:33,00:08:35,00:08:15
Diamond League,3k,Women,brussels,belgium,31,8,2018,20:11:00,50.8436709,4.36743669,6447099999,BE; UCCLE,5.0,15.1,3.4,2.0,0.8,45.5,2,11,2,128,13.9,15.6,11.5,00:08:44,00:08:44,00:08:55,00:09:00,00:09:02,00:09:07,00:09:07,00:09:07,00:09:14,00:09:14,00:09:15,00:09:17,00:08:59
Diamond League,3k,Men,EUGENE,US,26,5,2018,13:26:00,44.0505054,-123.09505,72693024221,OR US; EUGENE MAHLON SWEET FIELD,13.2,7.2,6.1,0.0,0.0,92.7,9,28,-7,0,6.4,11.7,5.2,00:07:54,00:07:54,00:08:09,00:08:12,00:08:12,00:08:15,00:08:16,00:08:19,00:08:22,00:08:23,00:08:30,00:08:33,00:08:11
Common Wealth,3k,Men,Gold Coast, Australia,13,4,2018,19:30:00,-28.002373,153.414598,94580099999,AS; GOLD COAST SEAWAY,7.9,20.8,20.1,2.6,1.1,95.8,8,30,10,0,21.4,25,20.2,00:07:54,00:08:10,00:08:10,00:08:11,00:08:12,00:08:12,00:08:20,00:08:34,00:08:40,00:08:48,00:08:58,00:09:03,00:08:11
Common Wealth,3k,Women,Gold Coast, Australia,11,4,2018,19:45:00,-28.002373,153.414598,94580099999,AS; GOLD COAST SEAWAY,7.9,23.3,15.4,5.1,2.1,61.2,3,15,10,0,23.3,24,19.4,00:08:53,00:09:20,00:09:21,00:09:23,00:09:26,00:09:36,00:09:43,00:09:46,00:09:47,00:09:59,00:10:13,00:10:22,00:09:23
Diamond League,3k,Women,OSLO,NORWAY,7,6,2018,20:20:00,59.9133301,10.7389701,1492099999,NO; OSLO BLINDERN,4.3,21.1,9.4,3.0,1.2,47.2,2,20,2,264,20.5,20.5,17.7,00:08:53,00:08:55,00:09:10,00:09:10,00:09:17,00:09:21,00:09:23,00:09:28,00:09:30,00:09:39,00:09:43,00:09:58,00:09:12
World Cup,3k,Men,OSTRAVA,CZECH REPUBLIC,8,9,2018,15:59:00,49.8349139,18.2820084,11782099999,EZ; MOSNOV,19.7,20.6,13.7,1.0,0.4,64.7,4,1,2,546,20.4,21.8,22.5,00:07:54,00:08:10,00:08:23,00:08:30,00:08:33,00:08:34,00:08:37,00:08:41,DNF,,,,00:08:28
World Cup,3k,Women,OSTRAVA,CZECH REPUBLIC,9,9,2018,16:10:00,49.8349139,18.2820084,11782099999,EZ; MOSNOV,19.7,20.7,9.6,2.0,0.8,49.0,2,10,2,558,20.1,20.4,20,00:08:44,00:09:25,00:09:08,00:09:15,00:09:18,00:09:43,00:09:49,00:09:55,00:10:01,,,,00:09:14
Diamond League,3k,Women,PARIS,FRANCE,30,7,2018,20:12:00,48.8566969,2.3514616,7156099999,FR; PARIS MONTSOURIS,4.6,24.6,15.5,2.1,0.9,57.0,3,12,2,294,24.6,24.8,22.2,00:08:44,00:08:44,00:08:59,00:09:02,00:09:04,00:09:04,00:09:13,00:09:17,00:09:17,00:09:21,00:09:28,00:09:40,00:09:02
Diamond League,3k,Men,RABAT,MOROCCO,13,7,2018,21:46:00,34.022405,-6.834543,60135099999,MO; SALE,8.3,20.0,15.0,2.1,0.9,73.0,6,14,1,0,20,22,17.4,00:07:54,00:07:54,00:08:06,00:08:07,00:08:10,00:08:12,00:08:13,00:08:14,00:08:15,00:08:18,00:08:19,00:08:20,00:08:08
Diamond League,3k,Women,ROME,ITALY,31,5,2018,20:23:00,41.8933203,12.4829321,16235099999,IT; URBE,6.7,25.0,17.0,2.1,0.9,61.2,3,153,2,130,25.2,25.7,21.9,00:08:53,00:08:55,00:09:05,00:09:05,00:09:07,00:09:08,00:09:16,00:09:16,00:09:18,00:09:19,00:09:22,00:09:31,00:09:06
Diamond League,3k,Men,ZURICH,switzerland,30,8,2018,20:24:00,47.3744489,8.5410422,6660099999,SZ; ZUERICH FLUNTERN,2.2,15.7,11.7,0.5,0.2,77.1,6,24,2,34,15.3,18.2,13.7,00:07:54,00:07:54,00:08:10,00:08:10,00:08:13,00:08:16,00:08:20,00:08:24,00:08:26,00:08:27,00:08:27,00:08:29,00:08:11
Diamond League,3k,Women,birmingham,UK,18,8,2019,14:55:00,52.4796992,-1.9026911,3534099999,UK; BIRMINGHAM,10.9,19.0,8.0,6.2,2.6,48.9,2,5,1,108,18.2,18.9,14.8,00:08:44,00:08:44,00:09:06,00:09:07,00:09:07,00:09:07,00:09:11,00:09:21,00:09:21,00:09:23,00:09:27,00:09:28,00:09:07
Diamond League,3k,Men,brussels,belgium,6,9,2019,20:20:00,50.8436709,4.36743669,6447099999,BE; UCCLE,5.0,14.6,14.6,2.0,0.8,100.0,8,20,2,17,14.7,18.8,14.3,00:07:54,00:07:54,00:08:07,00:08:07,00:08:08,00:08:11,00:08:14,00:08:15,00:08:15,00:08:16,00:08:17,00:08:17,00:08:07
Diamond League,3k,Men,DOHA,QATAR,3,5,2019,19:37:00,25.2856329,51.5264162,41170099999,QA; DOHA INTERNATIONAL,4.7,29.0,10.0,1.0,0.4,30.7,0,23,3,0,27.9,25.2,20.5,00:07:54,00:07:54,00:08:07,00:08:08,00:08:09,00:08:11,00:08:12,00:08:14,00:08:17,00:08:20,00:08:22,00:08:22,00:08:08
World Championships,3k,Men,DOHA,QATAR,4,10,2019,21:45:00,25.2856329,51.5264162,41170099999,QA; DOHA INTERNATIONAL,4.7,32.0,28.0,4.1,1.7,79.5,7,15,3,0,44.2,36.9,29.8,00:07:54,00:08:00,00:08:01,00:08:01,00:08:04,00:08:05,00:08:05,00:08:07,00:08:09,00:08:09,00:08:11,00:08:11,00:08:02
World Championships,3k,Women,DOHA,QATAR,30,9,2019,21:50:00,25.2856329,51.5264162,41170099999,QA; DOHA INTERNATIONAL,4.7,31.6,25.4,0.5,0.2,69.8,5,10,3,0,39.2,34.6,28.3,00:08:44,00:09:03,00:08:58,00:09:02,00:09:03,00:09:06,00:09:11,00:09:11,00:09:13,00:09:14,00:09:20,00:09:24,00:09:01
Diamond League,3k,Women,EUGENE,US,30,6,2019,19:42:00,44.0505054,-123.09505,72693024221,OR US; EUGENE MAHLON SWEET FIELD,13.2,24.4,11.7,4.1,1.7,45.0,5,12,-7,310,24.1,23.2,20.3,00:08:44,00:08:44,00:08:56,00:09:05,00:09:06,00:09:08,00:09:10,00:09:11,00:09:11,00:09:12,00:09:13,00:09:24,00:09:02
Diamond League,3k,Men,PARIS,FRANCE,24,8,2019,21:29:00,48.8566969,2.3514616,7156099999,FR; PARIS MONTSOURIS,4.6,23.6,12.9,1.5,0.6,51.1,2,29,2,1,23.3,23.2,18.5,00:07:54,00:07:54,00:08:07,00:08:07,00:08:09,00:08:09,00:08:14,00:08:14,00:08:14,00:08:14,00:08:16,00:08:17,00:08:07
Diamond League,3k,Men,RABAT,MOROCCO,16,7,2019,20:47:00,34.022405,-6.834543,60135099999,MO; SALE,8.3,20.6,16.8,4.1,1.7,78.9,7,13,1,0,20.8,23.1,18.6,00:07:54,00:07:54,00:08:06,00:08:06,00:08:07,00:08:09,00:08:12,00:08:13,00:08:17,00:08:18,00:08:21,00:08:25,00:08:07
Diamond League,3k,Women,ZURICH,switzerland,29,8,2019,20:23:00,47.3744489,8.5410422,6660099999,SZ; ZUERICH FLUNTERN,2.2,19.4,15.2,0.5,0.2,76.7,6,23,2,39,19.4,21.7,17.4,00:08:44,00:08:44,00:09:02,00:09:04,00:09:05,00:09:07,00:09:08,00:09:10,00:09:15,00:09:20,00:09:21,00:09:30,00:09:04
Olympic,50k,Men,sydney,AUSTRALIA,29,9,2000,8:00:00,-33.854815,151.216453,94768099999,AS; SYDNEY OBSERVATORY HILL,1.6,31.1,6.1,2.6,1.1,20.9,0,60,11,263,29.2,25.3,22.3,,,,,,,,,,,,,#DIV/0!
World Championships,50k,Men,Edmonton,Canada,11,8,2001,8:00:00,53.535411,-113.50799,71157099999,CA; EDMONTON MUNICIPAL CR10 ALTA,3.5,14.0,13.0,1.7,0.7,93.7,7,,-6,34,13.9,17.8,13.4,03:37:26,03:40:53,03:42:08,03:43:07,03:46:12,03:46:20,03:46:53,03:48:28,03:50:46,03:51:09,03:53:06,03:53:25,03:43:49
Common Wealth,50k,Men,Manchester, England,30,7,2002,8:00:00,53.4794892,-2.2451148,3334099999,UK; MANCHESTER,14.1,18.3,16.8,2.1,0.9,91.0,8,0,1,197,18.6,21.8,18.7,03:37:26,04:10:05,03:52:40,03:56:42,04:04:25,04:09:59,04:13:19,04:16:46,04:40:07,,,,03:57:56
World Cup,50k,Men,Torino,ITALY,13,10,2002,9:00:00,45.0677551,7.6824892,16061099999,IT; TORINO BRIC CROCE,5.5,9.8,7.8,0.0,0.0,87.4,8,0,2,0,9.1,13.7,7.6,03:36:39,03:39:22,03:40:59,03:42:08,03:45:37,03:47:06,03:51:03,03:51:32,03:52:20,03:52:36,03:52:51,03:53:49,03:42:55
World Championships,50k,Men,Paris Saint-Denis,FRANCE,27,8,2003,7:50:00,48.8705131,2.3528928,7156099999,FR; PARIS MONTSOURIS,6.2,20.0,13.2,2.1,0.9,64.9,4,10,2,0,19.8,21.2,16.7,03:36:39,03:40:53,03:36:03,03:36:42,03:37:46,03:38:01,03:38:23,03:43:56,03:44:53,03:46:14,03:47:42,03:49:05,03:36:50
Olympic,50k,Men,Athens,Greece,27,8,2004,7:00:00,37.9839412,23.7283052,16716099999,GR; ATHINAI,11.3,26.2,20.4,4.1,1.7,70.5,5,60,3,0,26.7,28.2,23.1,03:36:03,03:38:29,03:38:46,03:42:50,03:43:34,03:43:45,03:44:42,03:48:11,03:49:09,03:49:48,03:50:28,03:51:55,03:41:43
World Cup,50k,Men,Naumburg,GERMANY,1,5,2004,10:00:00,51.1525648,11.8099186,10555099999,GM; WEIMAR,39.2,19.0,10.0,5.1,2.1,55.9,2,,2,451,18.4,19.5,17.3,03:36:03,03:39:22,03:42:44,03:43:47,03:46:49,03:49:28,03:49:54,03:50:33,03:52:24,03:52:58,03:53:22,03:54:25,03:44:27
World Championships,50k,Men,Helsinki ,FINLAND,12,8,2005,11:35:00,60.1674098,24.9425769,2988099999,FI; ISOSAARI,10.2,18.3,14.9,7.0,2.9,80.6,7,25,3,327,18.3,21,18,03:36:03,03:36:03,03:38:08,03:41:25,03:41:54,03:44:04,03:44:45,03:49:01,03:49:55,03:51:15,03:53:57,03:55:02,03:40:29
World Cup,50k,Men,La Coruna,Spain,14,5,2006,8:00:00,43.3712091,-8.3958768,8001099999,SP; LA CORUNA,1.8,18.6,12.1,0.5,0.2,65.9,4,60,2,851,18.2,20,26,03:36:03,03:39:22,03:38:02,03:41:30,03:42:38,03:44:59,03:45:47,03:46:11,03:48:22,03:49:29,03:49:43,03:51:32,03:40:43
Common Wealth,50k,Men,Melbourne, Australia,24,3,2006,8:00:00,-37.814217,144.96316,94868099999,AS; MELBOURNE REGIONAL OFFICE,0.4,29.0,13.4,2.6,1.1,38.4,1,60,10,623,28.5,26.4,25.6,03:36:03,03:52:40,03:42:53,03:58:05,03:58:22,04:02:27,04:08:18,04:25:39,05:07:32,,,,03:53:07
World Championships,50k,Men,Osaka,JAPAN,1,9,2007,7:00:00,34.6198813,135.490357,47772099999,JA; OSAKA,7.5,31.7,18.0,1.5,0.6,44.2,1,0,9,877,32.6,30,31.4,03:35:47,03:36:03,03:43:53,03:44:22,03:44:38,03:46:57,03:51:52,03:55:19,03:55:43,03:57:22,03:58:17,03:58:22,03:44:18
Olympic,50k,Men,Beijing,China,22,8,2008,9:15:00,39.906217,116.391275,54511099999,CH; BEIJING CAPITAL INTERNATIONAL AIRPORT,25.4,31.3,18.0,3.0,1.2,45.2,2,15,8,771,32.2,29.8,29.1,03:34:14,03:38:29,03:37:09,03:39:27,03:40:14,03:44:08,03:45:21,03:45:21,03:45:47,03:46:51,03:47:18,03:47:45,03:38:57
World Cup,50k,Men,Cheboksary,RUSSIA,11,5,2008,8:00:00,56.1307195,47.2449597,27962299999,RS; CHEBOKSARY,7.8,17.0,-3.0,1.1,0.5,25.3,0,,3,519,15.4,15.5,15.3,03:35:47,03:38:02,03:34:14,03:37:04,03:44:59,03:47:30,03:47:55,03:48:29,03:49:03,03:49:21,03:49:50,03:50:30,03:38:46
World Championships,50k,Men,Berlin,GERMANY,21,8,2009,9:10:00,52.5170365,13.3888599,10384099999,GM; TEMPELHOF,5.0,20.0,16.0,0.0,0.0,77.8,6,,2,188,20.1,22.4,20.6,03:34:14,03:36:03,03:41:16,03:41:37,03:42:34,03:43:19,03:43:39,03:44:50,03:46:31,03:47:36,03:48:35,03:48:52,03:41:49
World Cup,50k,Men,Chihuahua,MEXICO,15,5,2010,8:00:00,28.5000001,-106,76225099999,MX; CHIHUAHUA CHIH.,16.9,22.0,-6.0,0.0,0.0,14.8,0,,-6,58,20.6,18,13.4,03:34:14,03:34:14,03:53:30,03:54:16,03:54:55,03:55:06,03:55:41,03:55:44,03:56:26,03:56:46,03:57:50,03:58:11,03:54:14
World Championships,50k,Men,Daegu,KOREA,3,9,2011,8:00:00,35.8713,128.6018,47143099999,KS; TAEGU ACC KOR AFB,1.9,28.5,13.1,3.6,1.5,38.8,1,60,9,816,28,26,25.8,03:34:14,03:36:03,03:42:45,03:43:36,03:44:40,03:45:31,03:46:21,03:47:13,03:47:19,03:48:03,03:48:40,03:49:32,03:43:40
Olympic,50k,Men,LONDON,UK,11,8,2012,9:00:00,51.5073219,-0.1276474,3770099999,UK; ST JAMES PARK,1.1,20.9,12.1,6.2,2.6,57.2,3,0,0,575,20.5,21.3,19.5,,,,,,,,,,,,,#DIV/0!
World Cup,50k,Men,Saransk,RUSSIA,13,5,2012,8:30:00,54.18671,45.18383,27760099999,RS; SARANSK,6.8,21.0,12.0,1.9,0.8,56.4,0,30,3,582,20.6,21.4,21.2,03:34:14,03:34:14,03:40:32,03:43:05,03:47:33,03:48:15,03:48:47,03:49:50,03:49:53,03:50:17,03:51:23,03:51:24,03:43:43
World Championships,50k,Men,Moskva ,RUSSIA,14,8,2013,8:30:00,55.7504461,37.6174943,27612099999,RS; MOSKVA VDNH DOLGOPRUDNYJ,9.2,24.5,16.8,1.0,0.4,62.3,4,30,3,395,24.6,25.4,24.3,03:34:14,03:36:03,03:37:56,03:40:03,03:40:39,03:41:07,03:41:20,03:41:36,03:43:38,03:44:26,03:45:18,03:45:56,03:39:33
World Cup,50k,Men,Taicang,CHINA,3,5,2014,8:00:00,31.4590371,121.126477,58362099999,CH; SHANGHAI,32.9,17.9,2.6,5.0,2.1,36.0,0,60,8,950,16.7,17,17.1,03:34:14,03:34:14,03:39:38,03:42:48,03:47:01,03:47:35,03:48:49,03:49:00,03:49:25,03:49:33,03:50:19,03:50:22,03:43:09
World Championships,50k,Men,Beijing,PROFCHINA,29,8,2015,14:30:00,39.8758649,116.2298249,,,,30.0,17.0,3.9,1.6,45.7,1,,8,0,30.4,28.6,23.6,03:32:33,03:36:03,03:40:32,03:42:17,03:42:55,03:43:44,03:44:17,03:44:39,03:45:21,03:46:00,03:46:43,03:48:48,03:41:55
Olympic,50k,Men,Rio de Janeiro,Brazil,19,8,2016,9:00:00,-22.911013,-43.209372,83755099999,BR; SANTOS DUMONT,4.7,22.0,19.0,1.5,0.6,83.1,7,0,-3,259,22.4,25.1,22.3,,,,,,,,,,,,,#DIV/0!
World Cup,50k,Men,Roma,ITALY,8,5,2016,9:00:00,41.8933203,12.4829321,16235099999,IT; URBE,6.7,21.0,13.0,1.0,0.4,60.3,3,10,2,306,20.7,21.7,20.1,03:32:33,03:34:14,03:42:36,03:44:02,03:44:47,03:48:29,03:51:10,03:51:57,03:52:27,03:53:53,03:54:26,03:54:32,03:43:48
World Championships,50k,Women,London,uk,13,8,2017,9:30:00,51.5073219,-0.1276474,3770099999,UK; ST JAMES PARK,1.1,17.7,7.2,1.5,0.6,50.2,1,30,0,646,16.8,18,18.9,,,,,,,,,,,,,#DIV/0!
World Championships,50k,Men,London ,GREATBRITAIN,13,8,2017,7:45:00,51.5287718,-0.2416821,,,,15.0,9.0,2.6,1.1,67.4,5,,0,639,14.3,17,16.7,03:32:33,03:36:03,03:33:12,03:41:17,03:41:19,03:43:03,03:43:56,03:44:18,03:44:41,03:45:02,03:45:21,03:45:28,03:38:36
World Cup,50k,Men,Taicang,CHINA,5,5,2018,8:00:00,31.4590371,121.126477,58362099999,CH; SHANGHAI,32.9,19.5,17.7,3.0,1.2,89.4,8,60,8,238,19.8,23,19.9,03:32:33,03:34:14,03:44:25,03:44:31,03:44:52,03:44:59,03:45:29,03:48:01,03:48:22,03:48:54,03:48:58,03:49:17,03:44:36
World Championships,50k,Men,Doha,QATAR,28,9,2019,23:30:00,25.2856329,51.5264162,41168099999,QA; DOHA PORT,2.9,32.0,27.0,1.1,0.5,75.0,6,,3,0,42.3,36.1,29.2,03:32:33,03:33:12,04:04:20,04:04:59,04:05:02,04:05:36,04:06:49,04:07:46,04:10:22,04:11:28,04:12:28,04:13:56,04:04:47
World Championships,50k,Women,Doha,QATAR,28,9,2019,23:30:00,25.2856329,51.5264162,41170099999,QA; DOHA INTERNATIONAL,4.7,32.4,24.1,2.1,0.9,61.8,4,30,3,0,38.6,34.1,28,,,,,,,,,,,,,#DIV/0!
Olympic,5k,Men, Sydney,Australia,30,9,2000,20:50:00,-33.854815,151.216453,94768099999,AS; SYDNEY OBSERVATORY HILL,1.6,23.0,4.0,5.3,2.2,29.0,0,70,10,0,22.1,20.2,15.5,00:12:39,00:13:06,00:13:35,00:13:36,00:13:36,00:13:37,00:13:37,00:13:37,00:13:38,00:13:39,00:13:39,00:13:39,00:13:36
Olympic,5k,Women, Sydney,Australia,25,9,2000,20:55:00,-33.854815,151.216453,94768099999,AS; SYDNEY OBSERVATORY HILL,1.6,18.0,12.0,6.1,2.5,68.0,5,65,10,0,17.6,19.7,15.2,00:14:28,00:15:00,00:14:41,00:14:41,00:14:42,00:14:43,00:14:44,00:14:47,00:14:47,00:14:50,00:14:55,00:14:57,00:14:41
World Championships,5k,Men,EDMONTON,CANADA,10,8,2001,22:25:00,53.535411,-113.50799,71157099999,CA; EDMONTON MUNICIPAL CR10 ALTA,3.5,15.0,13.0,3.1,1.3,87.8,8,,-6,145,14.9,18.3,14.7,00:12:39,00:12:58,00:13:01,00:13:03,00:13:05,00:13:06,00:13:08,00:13:08,00:13:14,00:13:20,00:13:22,00:13:24,00:13:03
World Championships,5k,Women,EDMONTON,CANADA,11,8,2001,17:15:00,53.535411,-113.50799,71157099999,CA; EDMONTON MUNICIPAL CR10 ALTA,3.5,25.0,15.0,3.6,1.5,53.9,2,,-6,119,25,24.8,20.9,00:14:28,00:14:42,00:15:03,00:15:07,00:15:10,00:15:11,00:15:14,00:15:16,00:15:18,00:15:20,00:15:23,00:15:24,00:15:07
World Cup,5k,Men,MADRID,SPAIN ,20,9,2002,21:15:00,40.4167047,-3.7035825,8222099999,SP; MADRID RETIRO,1.7,18.0,17.0,1.1,0.5,93.9,9,,2,0,18.3,21.8,17.1,00:12:39,00:13:14,00:13:30,00:13:32,00:13:33,00:13:33,00:13:39,00:13:40,00:13:55,00:13:58,00:14:34,,00:13:32
World Cup,5k,Women,MADRID,SPAIN ,21,9,2002,20:05:00,40.4167047,-3.7035825,8222099999,SP; MADRID RETIRO,1.7,20.0,11.0,5.3,2.2,56.2,3,,2,0,19.5,20.4,15.9,00:14:28,00:16:25,00:15:18,00:15:20,00:15:20,00:15:21,00:15:27,00:15:42,00:15:42,00:15:45,00:15:59,,00:15:19
Common Wealth,5k,Men,Manchester, England,31,7,2002,16:00:00,53.4794892,-2.2451148,3334099999,UK; MANCHESTER,14.1,16.6,15.9,1.5,0.6,95.6,8,0,1,8,16.8,20.5,15.9,00:12:39,00:13:14,00:13:14,00:13:14,00:13:18,00:13:19,00:13:19,00:13:25,00:13:26,00:13:34,00:13:38,00:13:40,00:13:15
Common Wealth,5k,Women,Manchester, England,28,7,2002,16:00:00,53.4794892,-2.2451148,3334099999,UK; MANCHESTER,14.1,24.1,14.0,3.1,1.3,53.3,2,0,1,38,24,23.9,19.5,00:14:28,00:15:53,00:14:31,00:14:54,00:15:06,00:15:18,00:15:20,00:15:27,00:15:33,00:15:43,00:15:44,00:15:45,00:14:50
World Championships,5k,Men,PARIS,FRANCE,31,8,2003,18:40:00,48.8566969,2.3514616,7156099999,FR; PARIS MONTSOURIS,4.6,16.7,7.6,1.0,0.4,55.0,3,20,2,410,15.9,17.5,17,00:12:39,00:12:58,00:12:53,00:12:53,00:12:53,00:12:54,00:12:58,00:12:58,00:13:01,00:13:06,00:13:21,00:13:24,00:12:53
World Championships,5k,Women,PARIS,FRANCE,30,8,2003,18:35:00,48.8566969,2.3514616,7156099999,FR; PARIS MONTSOURIS,4.6,16.7,7.1,3.1,1.3,53.1,2,25,2,437,15.8,17.4,15.5,00:14:28,00:14:42,00:14:52,00:14:52,00:14:52,00:14:52,00:14:54,00:14:54,00:14:54,00:14:55,00:14:57,00:14:58,00:14:52
Olympic,5k,Men, ATHENS,GREECE,28,8,2004,21:05:00,37.9839412,23.7283052,16716099999,GR; ATHINAI,11.3,23.6,14.9,0.0,0.0,58.2,3,5,3,0,23.5,24,19.1,00:12:37,00:13:06,00:13:14,00:13:15,00:13:15,00:13:15,00:13:17,00:13:18,00:13:24,00:13:26,00:13:32,00:13:33,00:13:15
Olympic,5k,Women, ATHENS,GREECE,23,8,2004,22:00:00,37.9839412,23.7283052,16716099999,GR; ATHINAI,11.3,25.2,11.6,0.0,0.0,42.7,1,60,3,0,24.9,23.6,18.9,00:14:25,00:14:41,00:14:46,00:14:48,00:14:52,00:14:56,00:14:58,00:15:02,00:15:03,00:15:07,00:15:07,00:15:10,00:14:49
World Championships,5k,Men,HELSINKI,FINLAND,14,8,2005,20:20:00,60.1674098,24.9425769,2988099999,FI; ISOSAARI,10.2,16.0,14.7,5.0,2.1,92.0,8,40,3,7,16.1,19.6,15.2,00:12:37,00:12:53,00:13:33,00:13:33,00:13:33,00:13:33,00:13:33,00:13:34,00:13:35,00:13:35,00:13:35,00:13:37,00:13:33
World Championships,5k,Women,HELSINKI,FINLAND,13,8,2005,20:10:00,60.1674098,24.9425769,2988099999,FI; ISOSAARI,10.2,16.3,14.2,7.0,2.9,87.4,8,50,3,13,16.3,19.6,15.2,00:14:25,00:14:42,00:14:39,00:14:40,00:14:42,00:14:43,00:14:44,00:14:44,00:14:44,00:14:45,00:14:47,00:14:48,00:14:40
World Cup,5k,Men,ATHENS,GREECE,16,9,2006,20:20:00,37.9839412,23.7283052,16716099999,GR; ATHINAI,11.3,23.8,13.6,3.1,1.3,52.9,2,140,3,0,23.6,23.6,19,00:12:37,00:13:14,00:13:35,00:13:36,00:13:37,00:13:45,00:13:47,00:13:49,00:13:50,00:14:03,00:14:27,,00:13:36
World Cup,5k,Women,ATHENS,GREECE,17,9,2006,20:00:00,37.9839412,23.7283052,16716099999,GR; ATHINAI,11.3,21.6,17.8,2.1,0.9,79.0,7,60,3,0,21.9,24.2,19.5,00:14:25,00:15:18,00:14:39,00:15:05,00:15:07,00:15:12,00:15:18,00:15:35,00:15:49,00:16:18,00:16:24,,00:14:57
Common Wealth,5k,Men,Melbourne, Australia,20,3,2006,16:00:00,-37.814217,144.96316,94868099999,AS; MELBOURNE REGIONAL OFFICE,0.4,13.1,10.4,0.5,0.2,83.7,7,0,10,0,12.7,16.3,11.1,00:12:37,00:13:14,00:12:56,00:12:58,00:13:05,00:13:06,00:13:13,00:13:24,00:13:25,00:13:26,00:13:41,00:13:41,00:13:00
Common Wealth,5k,Women,Melbourne, Australia,24,3,2006,16:00:00,-37.814217,144.96316,94868099999,AS; MELBOURNE REGIONAL OFFICE,0.4,19.3,13.1,0.5,0.2,67.4,5,0,10,0,19,20.8,16,00:14:25,00:14:31,00:14:58,00:14:59,00:15:00,00:15:01,00:15:03,00:15:12,00:15:44,00:15:51,00:15:52,00:17:10,00:14:59
