Competition,Type of race,Sex,HOST NATION,Country,DAY,MONTH,YEAR,TIME,Latitude,Longitude,NOAA Station ID,Station Location,Distance from location (km),Air Temperature (C),Dew Point (C),Wind Speed (m/s),Adjusted wind speed,Relative Humidity (%),Clouds (OKTA),Diff from requested Time (minutes),Time zone,Solar Radiation accounting for clouds (tilt surface)(W/m},Heat Index (National Oceanic and Atmospheric Administration; Last modified 2014) - [°C],Simplified Wet Bulb Globe Temperature (American College of Sports Medicine; 1984) - [°C],Wet Bulb Globe Temperature (outdoor) (Yaglou; 1956) - [°C],World Record,Standing record,Finished time (1st),Finished time (2nd),Finished time (3rd),Finished time (4th),Finished time (5th),Finished time (6th),Finished time (7th),Finished time (8th),Finished time (9th),Finished time (10th),time_avgTop3
World Championships,10k,Women,BEIJING ,CHINA,24,8,2015,20:35:00,39.906217,116.391275,54511099999,CH; BEIJING CAPITAL INTERNATIONAL AIRPORT,25.4,20.0,18.0,3.0,1.2,88.3,8,5,8,0,20.4,23.4,18.8,00:29:32,00:30:04,00:31:41,00:31:42,00:31:43,00:31:44,00:31:44,00:31:46,00:31:50,00:31:51,00:31:53,00:31:54,00:31:42
Olympic,10k,Men,RIO DE JANEIRO,BRAZIL,13,8,2016,21:27:00,-22.911013,-43.209372,83755099999,BR; SANTOS DUMONT,4.7,21.0,17.0,3.6,1.5,77.9,6,27,-3,0,21.2,23.5,18.9,00:26:18,00:27:01,00:27:05,00:27:06,00:27:06,00:27:06,00:27:09,00:27:10,00:27:23,00:27:24,00:27:31,00:27:32,00:27:06
Olympic,10k,Women,RIO DE JANEIRO,BRAZIL,12,8,2016,11:10:00,-22.911013,-43.209372,83755099999,BR; SANTOS DUMONT,4.7,17.0,16.0,1.0,0.4,93.8,8,10,-3,17,17.2,20.7,16.2,00:29:32,00:29:55,00:29:17,00:29:33,00:29:43,00:29:54,00:30:08,00:30:13,00:30:26,00:30:27,00:31:14,00:31:15,00:29:31
World Championships,10k,Men,LONDON,UK,4,8,2017,21:20:00,51.5073219,-0.1276474,3770099999,UK; ST JAMES PARK,1.1,19.0,13.0,5.3,2.2,68.2,5,20,1,0,18.7,20.6,16.1,00:26:18,00:26:46,00:26:50,00:26:50,00:26:51,00:26:52,00:26:56,00:26:58,00:26:59,00:27:02,00:27:08,00:27:09,00:26:50
World Championships,10k,Women,LONDON,UK,5,8,2017,20:10:00,51.5073219,-0.1276474,3770099999,UK; ST JAMES PARK,1.1,19.0,8.0,4.2,1.7,48.9,1,10,1,0,18.2,18.9,14.3,00:29:17,00:30:04,00:30:16,00:31:03,00:31:03,00:31:12,00:31:20,00:31:20,00:31:21,00:31:25,00:31:26,00:31:27,00:30:48
Common Wealth,10k,Men,Gold Coast, Australia,13,4,2018,21:10:00,-28.002373,153.414598,94580099999,AS; GOLD COAST SEAWAY,7.9,20.8,20.1,2.6,1.1,95.8,8,70,10,0,21.4,25,20.2,00:26:18,00:27:45,00:27:20,00:27:21,00:27:29,00:27:30,00:27:31,00:27:45,00:27:47,00:27:56,00:28:17,00:28:56,00:27:23
Common Wealth,10k,Women,Gold Coast, Australia,9,4,2018,20:35:00,-28.002373,153.414598,94580099999,AS; GOLD COAST SEAWAY,7.9,17.1,16.9,2.6,1.1,98.7,8,35,10,0,17.4,21.2,16.7,00:29:17,00:31:28,00:31:45,00:31:46,00:31:48,00:31:50,00:31:50,00:31:51,00:31:58,00:32:01,00:32:11,00:32:12,00:31:47
World Championships,10k,Men,DOHA,QATAR,6,10,2019,20:00:00,25.2856329,51.5264162,41170099999,QA; DOHA INTERNATIONAL,4.7,31.7,21.9,2.1,0.9,56.3,3,0,3,0,35.4,32.3,26.6,00:26:18,00:26:46,00:26:48,00:26:49,00:26:50,00:26:55,00:26:57,00:26:59,00:27:05,00:27:11,00:27:11,00:27:25,00:26:49
World Championships,10k,Women,DOHA,QATAR,28,9,2019,21:10:00,25.2856329,51.5264162,41170099999,QA; DOHA INTERNATIONAL,4.7,32.4,24.5,0.5,0.2,63.3,4,10,3,0,39.1,34.4,28.2,00:29:17,00:30:04,00:30:18,00:30:21,00:30:25,00:30:36,00:30:36,00:30:44,00:31:05,00:31:06,00:31:07,00:31:13,00:30:21
Olympic,20k,Men,Sydney,Australia,22,9,2000,9:17:00,-33.854815,151.216453,94768099999,AS; SYDNEY OBSERVATORY HILL,1.6,18.4,14.5,3.6,1.5,78.0,6,43,11,360,18.3,20.9,18.5,,,,,,,,,,,,,#DIV/0!
Olympic,20k,Women,Sydney,Australia,28,9,2000,10:45:00,-33.854815,151.216453,94768099999,AS; SYDNEY OBSERVATORY HILL,1.6,19.1,17.5,6.7,2.8,90.5,9,45,11,0,19.4,22.6,18.2,,,,,,,,,,,,,#DIV/0!
